Date,AAPL,GOOGL,MSFT
2020-09-17,108.10043334960938,74.26676177978516,196.72337341308594
2020-09-18,104.67146301269531,72.47132110595703,194.28024291992188
2020-09-21,107.84569549560547,71.42503356933594,196.3646697998047
2020-09-22,109.54059600830078,72.9073257446289,201.09588623046875
2020-09-23,104.94579315185547,70.38871002197266,194.47412109375
2020-09-24,106.02345275878906,71.06143951416016,196.99485778808594
2020-09-25,110.00106811523438,71.87051391601562,201.48370361328125
2020-09-28,112.62665557861328,72.8493881225586,203.05429077148438
2020-09-29,111.77432250976562,73.21697235107422,200.94076538085938
2020-09-30,113.45940399169922,73.19599151611328,203.91717529296875
2020-10-01,114.41950988769531,74.3097152709961,205.9822540283203
2020-10-02,110.72603607177734,72.69656372070312,199.9033966064453
2020-10-05,114.1353988647461,74.05651092529297,203.9656219482422
2020-10-06,110.86318969726562,72.46783447265625,199.63189697265625
2020-10-07,112.7442398071289,72.87336730957031,203.43240356445312
2020-10-08,112.63645935058594,74.08647155761719,204.15956115722656
2020-10-09,114.59586334228516,75.43592071533203,209.2300567626953
2020-10-12,121.87505340576172,78.13981628417969,214.64962768554688
2020-10-13,118.64203643798828,78.26367950439453,216.0651397705078
2020-10-14,118.73023223876953,78.08238220214844,214.1260986328125
2020-10-15,118.25996398925781,77.68434143066406,212.9627227783203
2020-10-16,116.60424041748047,78.2951431274414,212.9627227783203
2020-10-19,113.6259536743164,76.40980529785156,207.6885528564453
2020-10-20,115.12490844726562,77.46509552001953,208.10545349121094
2020-10-21,114.4979019165039,79.2085952758789,208.25088500976562
2020-10-22,113.40061950683594,80.24090576171875,208.33811950683594
2020-10-23,112.70503234863281,81.55540466308594,209.63726806640625
2020-10-26,112.71484375,79.12368774414062,203.67474365234375
2020-10-27,114.2333755493164,79.85235595703125,206.74813842773438
2020-10-28,108.9429702758789,75.45340728759766,196.5004119873047
2020-10-29,112.97936248779297,77.7547607421875,198.4781951904297
2020-10-30,106.65047454833984,80.71286010742188,196.2967987060547
2020-11-02,106.56228637695312,81.1229019165039,196.16107177734375
2020-11-03,108.19840240478516,82.18866729736328,200.1360321044922
2020-11-04,112.61686706542969,87.19243621826172,209.7923583984375
2020-11-05,116.61402893066406,88.02397918701172,216.48199462890625
2020-11-06,116.4815673828125,87.88563537597656,216.8988800048828
2020-11-09,114.15565490722656,87.97003936767578,211.73141479492188
2020-11-10,113.81218719482422,86.7863998413086,204.57640075683594
2020-11-11,117.26668548583984,87.2613525390625,209.94749450683594
2020-11-12,116.99187469482422,87.04109954833984,208.8713836669922
2020-11-13,117.04096221923828,88.51141357421875,209.90872192382812
2020-11-16,118.06163024902344,88.59981536865234,210.60678100585938
2020-11-17,117.16853332519531,87.98202514648438,207.9212188720703
2020-11-18,115.8338394165039,86.9322280883789,205.18008422851562
2020-11-19,116.43248748779297,87.82769775390625,206.4825897216797
2020-11-20,115.15667724609375,86.71947479248047,204.50933837890625
2020-11-23,111.73161315917969,86.27897644042969,204.2371826171875
2020-11-24,113.02706146240234,88.0938949584961,207.88232421875
2020-11-25,113.87105560302734,88.10537719726562,207.89210510253906
2020-11-27,114.4206314086914,89.24856567382812,209.21408081054688
2020-11-30,116.83487701416016,87.61943817138672,208.0864715576172
2020-12-01,120.43656921386719,89.66509246826172,210.16668701171875
2020-12-02,120.7898941040039,91.14389038085938,209.35015869140625
2020-12-03,120.65249633789062,90.98757934570312,208.25173950195312
2020-12-04,119.97532653808594,91.08346557617188,208.36837768554688
2020-12-07,121.44741821289062,90.74735260009766,208.30032348632812
2020-12-08,122.06568145751953,90.46267700195312,209.97225952148438
2020-12-09,119.51407623291016,88.79109191894531,205.87994384765625
2020-12-10,120.94688415527344,88.28118133544922,204.6357421875
2020-12-11,120.13235473632812,88.63826751708984,207.2991180419922
2020-12-14,119.51407623291016,87.51255798339844,208.21286010742188
2020-12-15,125.50056457519531,87.95305633544922,208.1448211669922
2020-12-16,125.4318618774414,87.75877380371094,213.15086364746094
